speaker,line,scene
Jesse,"Not lately? Well, that's good, you're cured, then.",13
Jesse,"I mean, there's these breeds of monkeys, right, and all they do is have sex, like all the time, you know? And uh, they turn out to be, like the least violent, the most peaceful, the most  happy, you know, so I mean, maybe fooling around is not so bad.",14
Céline,  Are you talking about monkeys?,14
Jesse,Yes. I'm talking about monkeys.,14
Céline,"Ah, I thought so, yeah.",14
Jesse,Why?,14
Céline,"You know, I never heard this one, but it reminds me of, like this perfect, you know, male argument to justify them fooling around.",14
Jesse,"No, no, no. Woman monkeys are fooling around, too.   Everybody's fooling around.",14
Céline,"Yeah, that's cute.   You know, I have this awful paranoid thought, that feminism was mostly invented by men, so they could, like, fool around a little more. You know, women, free your minds, free your bodies, sleep with me. We're all happy and free as long as I can fuck   as much as I want.",14
Jesse,"Alright, alright, alright. But maybe, maybe there's some biological things at work here. I mean, if you had an island, right, and there were ninety-nine women on the island, and only one man, in a year, you'd have the possibility of ninety-nine babies. But if you have an island with ninety-nine men, and only one woman, in a year, you'd have the possibility of only one baby. So...",14
Céline,So. You know what?,14
Jesse,What? gu kha,14
Céline,"On this island, you know, I think that there will only be, like maybe forty-three men left. Because they would kill each other, trying to fuck this poor woman, you know what I mean? And on the other island, there would be ninety-nine women, ninety-nine babies, and no more man, because they would have all gotten together, and eaten him alive.",14
Jesse,Oh yeah?,14
Céline,Yeah.,14
Jesse,"  Yeah? Yeah? See...see, I think there's something to that. I think on some level, women don't mind the idea of destroying a man, you know. Like, I was once walking down the street with my ex-girlfriend, you know, right, and we just walked by these, like real four, kind of   thuggy looking guys, next to a Camaro, you know, and one of 'em, sure enough, says, “Hey baby, nice ass.” You know, I mean. So, I'm like alright, “Hey, no big deal,” I'm not gonna get uptight about this, right?",14
Céline,"Yeah, plus, there were four of them, right?",14
Jesse,"Yeah, exactly, there's four of them, right, but she turns around and she says,   “Fuck you, dickheads,” and I'm like, okay, wait a minute, here, right? They're not gonna come over here and kick her ass, you know what I mean? So who just got pushed to the front line on that one? You see what I'm saying? I mean, women say they hate it if you‘re all territorial and protective, but if it suits them, then they'll tell you you're being all unmanly, or wimpy, or uh",14
Céline,"You know what? I don't think women really want to destroy men, and if, even if they want to, they don't...they don't succeed. You know what I mean? I'm sure even, you know, men are destroying women, or are able...capable of destroying women, much more than women...Well, anyway, it‘s depressing, I mean you know what?",14
Jesse,What? You want to stop talking about this?,14
Céline,"Yeah. I really hate it. You know, men, women you know, it‘s, it‘s...there's no end to this, like, you know...",14
Jesse,"It‘s like a skipping record, you know?",14
Céline,Yeah.,14
Jesse,Every couple's been having this conversation forever.,14
Céline,And nobody's come up with anything.,14
Céline,I saw a documentary on that. It's a birth dance.,14
Jesse,A birth dance?,14
Céline,Yeah.,14
Jesse,Should I give her some money?,14
Céline,Yeah.,14
Jesse,"  Everything that's interesting costs a little bit of money. I'm telling you. So, birth dance, huh? Looked a little bit like a mating dance to me.",14
Céline,"No, but really. Women used this when giving birth. In some parts of the world, they still do it.",14
Jesse,Yeah?,14
Céline,"Yeah. The woman in labor enters a tent, and the women of her tribe surround her, and dance, and they encourage the birthing woman to dance with them as...so as to make the birth less painful.",14
Jesse,Yeah...,14
Céline,"When the baby is born, they all dance in celebration.",14
Jesse,Wow. I don't think my mom would've gone for that.,14
Céline,"I like the idea of dancing as a common function in life, something everybody participates in.",14
Jesse,"Yeah, I know. I heard about this old guy, who was watching some young people dance. And he said, how beautiful. They're trying to shake off their genitals, and become angels.",14
Céline,I like that,14
Jesse,"Alright. One question, though, back there. When the women are dancing, and being all spiritual, and stuff, right? Where are the men? Are we out food-gathering? Are we not invited? Y'all don't need us? What?",14
Céline,"Men are lucky we don't bite off their head after mating. Certain insects do that, you know, like spiders, and stuff.",14
Jesse,Mm-hmm.,14
Céline,"We, at least, let you live. What are you complaining about?",14
Jesse,"Yes. See, you're officially kidding, but there's something to that, you know. You keep bringing stuff like that up.",14
Céline,What?,14
Jesse,Yeah.,14
Céline,"No, no, no, wait a minute. Talking seriously here. I mean,...I, I always feel this pressure of being a strong and independent icon of womanhood, and without making...making it look my...my  whole life is revolving around some guy. But loving someone, and being loved means so much to me. We always make fun of it and stuff. But isn't everything we do in life a way to be loved a  little more?",14
Jesse,"Hmmm. Yeah, I don't know   Sometimes I dream about being a good father and a good husband, and sometimes that feels really close.",14
Céline,Hmm.,14
Jesse,"But then, other times, it seems silly. Like it would uh, ruin my whole life. And it‘s not just a uh, a fear of commitment, or that I'm incapable of caring, or loving, because I can. It's just that if I'm totally honest with myself, I think I'd rather die knowing that I was really good at something, that I had excelled in some way, you know, then that I had just been in a nice, caring relationship.",14
Céline,"Yeah, but I had worked for this older man, and once he told me that he had spent all of his life thinking about his career and his work, and...he was fifty-two and it suddenly struck him that he had never really given anything of himself. His life was for no one, and nothing. He was almost crying saying that. You know, I believe if there's any kind of God, it wouldn't be in any of us. Not you, or me...but just this little space in between. If there's any kind of magic in this world, it must be in the attempt of understanding someone, sharing something.   I know, it‘s almost impossible to succeed, but...who cares, really? The answer must be in the attempt.",14
Céline,"Okay, now I'm going to call my best friend in Paris, who I'm supposed to have lunch with in eight hours. Okay?",15
Jesse,  Okay.,15
Céline,  Dring-Dring. Dring-Dring. Dring-Dring. Pick up!,15
Jesse,What?,15
Céline,Pick up the phone!,15
Jesse,"  Oh, hello?",15
Céline,Allo?,15
Jesse,Mm-hmm.,15
Céline,"Vanie? Ici Celine, hein?",15
Jesse,Ahh...,15
Céline,Comment ça-va?,15
Jesse,  Ca va bien. Et toi?,15
Céline,"Vanie, ma vacation est incroyable!",15
Jesse,"Ahhh...y' -a- I- you know, I've been working on my English, recently, w- y'want to talk in English?",15
Céline,"Yeah, okay, that's a good idea. Ummm...I don't think I'm gonna be able to make it for lunch today, I'm sorry. I...I met a guy on the train, and I got off with him in Vienna. We're still   there.",15
Jesse,Are you crazy?,15
Céline,Probably.,15
Jesse,"We...wa...he's Austrian, he's from there?",15
Céline,N-n-n-n-no. He's passing through here too. He's American. He's going back home tomorrow morning.,15
Jesse,  Why'd you get off the train with him?,15
Céline,"Well...he convinced me. Well, actually I was...  I was ready to get off the train with him after talking to him a short while. He was so sweet, I couldn't help it. We were in the lounge car, and he began to talk about him, as a little boy, seeing his great-grandmother's ghost. I think that's when I fell for him. Just the idea of this little boy with all those beautiful dreams. He TRAPPED me.",15
Jesse,Mm-hmm.,15
Céline,"And he's so cute! He has beautiful blue eyes  , nice pink lips  , greasy hair.   I love it. He's kind of tall, and a little clumsy.   I like to feel his eyes on me when I look away.   He kind of kisses like an adolescent, it‘s so cute.",15
Jesse,  What?!,15
Céline,"Yeah, we kissed. It was so adorable. As the night went on, I began to like him more and more. But I'm afraid he's scared of me. You know, I told him the story about the woman that kills her ex-boyfriend, and stuff. He must be scared to death.   He must be thinking I'm this manipulative, mean woman. I just hope he doesn't feel that way about me, because you know me, I'm the most harmless person. The only person I could really hurt is myself.",15
Jesse,I don't think he's scared of you. I think he's crazy about you.,15
Céline,Really?,15
Jesse,"I mean, I've known you a long time, and I got a good feeling. You gonna see him again?",15
Céline,We haven't talked about that yet.   Okay it‘s your turn. You call your friend.,15
Jesse,Uh...,15
Céline,Okay?,15
Jesse,"  Alright, alright. Umm...  Uh,   Bring-Bring-Bring. Uh, I usually get this guys answering machine. Brawwwwwwng.",15
Céline,"  Hi dude, what's up?",15
Jesse,"Uhhhh...Hey Frank, how you been? Glad you're home.",15
Céline,"Cool. Yeah. So, how was Madrid?",15
Jesse,"Uh, Madrid...SUCKED. You know, Lisa and I had our long-overdue meltdown.",15
Céline,"Oh. Too bad. I told you, no?",15
Jesse,"Yeah, yeah, yeah. The long-distance thing just never works. I was only in Madrid for a couple of days. I got a cheaper flight, out of Vienna...but uh, you know, it really wasn't that much cheaper. I just uh...I couldn't go home right away. I didn't want to see anybody I knew, I just wanted to be a ghost. Completely anonymous.",15
Céline,"So are you okay, now?",15
Jesse,"Yeah. Yeah, no, no, yeah, I'm great, I'm great! That's the thing, I'm...I'm rapturous. And I'll tell you why. I met somebody. On my last night in Europe, can you believe that?",15
Céline,"Ah, that's incredible.",15
Jesse,"I know, I know. And you know how they say we're all each others' demons and angels? Well, she was literally a Botticelli angel. Just telling me that everything was gonna be okay.",15
Céline,How did you meet?,15
Jesse,"On the train. Yeah, she was sitting next to this very weird couple who started fighting so she had to move. She sat right across the aisle from me. So, we started to talk, and uh, she   didn't like me much at first. She's super smart  , very passionate, um...and beautiful  . And I was so unsure of myself. I thought everything I said sounded so stupid.",15
Céline,"Oh, man, I wouldn't worry about that.",15
Jesse,No...,15
Céline,"No, I'm sure she was not judging you. No...and by the way, she sat next to you, no? I'm sure she did it on purpose.",15
Jesse,"Oh, Yeah?",15
Céline,Yeah. Us men are so stupid. We don't understand anything about women.,15
Jesse,Mm-hmm.,15
Céline,They act kind of strange. The little I know of them. Don't they?,15
Jesse,  Yeah.,15
Jesse,"I feel like this is uh, some dream world we're in, you know.",16
Céline,"Yeah, it's so weird. It‘s like our time together is just ours. It‘s our own creation. It must be like I'm in your dream, and you in mine, or something.",16
Jesse,"And what's so cool is that this whole evening, all our time together, shouldn't officially be happening.",16
Céline,"Yeah, I know. Maybe that's why this feels so otherworldly. But then the morning comes, and we turn into pumpkins, right?",16
Jesse,Ahhh...,16
Céline,"Yeah, I know.   But at this time, I think you're supposed to produce the glass slipper, and see if it fits.",16
Jesse,Yeah?,16
Céline,Yeah.,16
Jesse,It'll fit.,16
Jesse,"This friend of mine had a kid, and it was a home birth, so he was there helping out and everything. And he said at that profound moment of birth uh, he was watching this child, experiencing life for the first time, I mean, trying to take its first breath...all he could think about was that he was looking at something that was gonna die someday. He just couldn't get it out of his head. And I think that's so true, I mean, all-- everything is so finite. I mean, but, but don't you think that that's what um, makes our time, at specific moments, so important?",17
Céline,"Yeah, I know. It's the same for us, tonight, though. After tomorrow morning, we're probably never going to see each other again, right?",17
Jesse,You don't think we'll ever see each other again?,17
Céline,What do you think?,17
Jesse,"Well um, gosh, I don't know. Uh, I mean, I hadn't planned another trip to...",17
Céline,"Oh, me too, you know. I live in Paris, you live in the U.S. I totally understand that...",17
Jesse,"I mean, I'd hate to make you fly. You know, you hate to fly, right?",17
Céline,I'm not so scared of flying. I mean I could...,17
Jesse,"I mean, if you were gonna come to the U.S. or if, you know, I mean if I, or you know, I mean, I could come back here, I mean...  What?",17
Céline,"Now let's just be rational adults about this. We, maybe we should try something different. I mean, it‘s not so bad if tonight is our only night, right? People always exchange phone numbers, addresses, they end up writing once, calling each other once or twice...",17
Jesse,"Right. Fizzles out. Yeah, I mean, I don't want that. I hate that.",17
Céline,"I hate that too, you know.",17
Jesse,Why do you think everybody thinks relationships are supposed to last forever?,17
Céline,"Yeah, why. It's stupid.",17
Jesse,"So, you think tonight's it, huh? I mean, that tonight's our only night.",17
Céline,"It‘s the only way, no?",17
Jesse,"Well, alright. Let's do it. No delusions, no projections. We'll just make tonight great.",17
Céline,"Okay, let's do that.",17
Jesse,Okay.,17
Jesse,"We should do some kind of handshake, you know? Give me your hand.   Alright. To our one and only night together, and the hours that remain.   What?",17
Céline,"It‘s just...it‘s depressing, no? That the...the only thing we're gonna think of is when we're gonna have to say goodbye tomorrow.",17
Jesse,"Well, we could say goodbye now. Then we wouldn't have to worry about it in the morning.",17
Céline,Now?,17
Jesse,Yeah. Say goodbye.,17
Céline,Bye.,17
Jesse,Goodbye.,17
Céline,  you have a...  Au revoir.,17
Jesse,Later!,17
Céline,"Later, yeah.",17
Jesse,"Alright, so here's the plan, right. You're gonna grab the glasses, and I'm gonna get the wine.",18
Céline,Red wine.,18
Jesse,Red wine. Right.,18
Céline,You think you can do that?,18
Jesse,Noooo problem.,18
Jesse,  Wish me good luck.,18
Céline,  Good luck.,18
Jesse,  Hello.,18
Jesse,  Uh...Do you speak English?,18
Jesse,"Yeah, a bit? I'm having kind of an odd situation...which is that...this is...you see that girl over there?",18
Jesse,"Yeah, well, this is our only night together. Um, and she, ahh...here’s the problem, the problem is that she wants a bottle of red wine, and I don't have any money.   But I was thinking that you might want to...um, give me the address of this bar.   No I know, and I would promise to send you the money, and you’d be making our night complete.",18
Jesse,Yes.,18
Jesse,Thank you very much,18
Céline,"So often in my life I've been with people and shared beautiful moments like travelling, or staying up all night and watching the sunrise, and I knew those were special moments. But something was always wrong. I wished I’d been with someone else.   I knew that what I was feeling, exactly what was so important to me, they didn't understand. But I'm happy to be with you. You couldn't possibly know why a night like this is so important to my life right now, but it is...This is a great morning.",19
Jesse,It is a great morning. Do you think we have others like this?   What?,19
Jesse,"Oh, yeah. Yeah. I know what you mean about wishing somebody wasn't there though, It‘s just, usually, it‘s myself that I wish I could get away from. Seriously, think about this. I have never been anywhere that I haven't been. I've never had a kiss when I wasn't one of the kissers. You know, I've never, um, gone to the movies, when I wasn't there in the audience. I've never been out bowling, if I wasn't there, making some stupid joke. That's why so many people hate themselves. Seriously. It’s just they are sick to death of being around themselves. Let‘s say that you and I were together all the time, then you'd start to hate a lot of my mannerisms. The way...the way every time that we would have people over...I'd be insecure, and I'd get a little too drunk. Or...the way I tell the same stupid pseudo-intellectual story again, and again. Y'see, I've heard all those stories...So of course I'm sick of myself. But being with you...it‘s made me feel like I was somebody else. I mean the only other way to lose yourself like that is...you know, dancing...or alcohol...or drugs or stuff like that.",19
Céline,Fucking?,19
Jesse,Fuh... Fucking? Yeah. That's one way. Yeah.,19
Céline,  Do you know what I want?,19
Jesse,What?,19
Céline,  To be kissed.,19
Jesse,"Well, I could do that.",19
Céline,Wait!   I have to say something stupid.,19
Jesse,Alright.,19
Céline,It‘s very stupid.,19
Jesse,Okay.,19
Céline,"I don't think we should sleep together. I mean, I want to, but since we're never going to see each other again...it'll make me feel bad. I‘ll wonder who else you're with. I'll miss you.   I know. It's not very adult. Maybe it‘s a female thing. I can't help it.",19
Jesse,Let's see each other again.,19
Céline,"No, I don't want you to break our vow, just so you can get LAID.",19
Jesse,"I don't want to just get laid. I want to--I mean...I think we should. I mean, we'll die in the morning, right? I think we should.",19
Céline,"No, then it‘s like some male fantasy. Meet a French girl, fuck her, and never see her again. And have this great story to tell. I don’t wanna be a great story, I don‘t want this great evening to just have been for that.",19
Jesse,"Alright. Alright, alright, alright. Okay, okay.",19
Céline,Okay?,19
Jesse,Okay. We don't have to have sex. It's not a big deal.,19
Céline,Okay.   You don't want to see me again?,19
Jesse,"  No, of course I do. Listen.   If somebody gave me the choice right now, of to never see you again or to marry you, alright, I would marry you, alright? And maybe that's a lot of romantic bullshit...but people have gotten married for a lot less.",19
Céline,"Actually...I think I decided I wanted to sleep with you when we got off the train. But now that we've talked so much, I don't know anymore.",19
Céline,Why do we make everything so complicated?,19
Jesse,I don't know.,19
Jesse,What's the first thing you'll do when you get back to Paris?,20
Céline,Call my parents.,20
Jesse,Yeah?,20
Céline,What about you?,20
Jesse,I don't know...I'll probably go pick up my dog. He's still with a friend of mine.,20
Céline,You have a dog?,20
Jesse,Yeah.,20
Céline,I love dogs.,20
Jesse,You do?,20
Céline,Yeah.,20
Jesse,Oh shit!,20
Céline,What?,20
Jesse,"Oh, I don't know. We're back in real time.",20
Céline,I know. I hate that.,20
Jesse,What is that?,20
Céline,Sounds like a harpsichord.,20
Jesse,Check that out.,20
Céline,Somebody’s playing.,20
Jesse,  That’s cool.,20
Jesse,Can we dance to the harpsichord?,20
Céline,Of course.,20
Jesse,"  Oh, wow.",20
Céline,What?,20
Jesse,I'm gonna take your picture   so I never forget you...or...or all this.,20
Céline,"Okay. Me, too.",20
Jesse,  “The years shall run like rabbits.“,21
Céline,  What?,21
Jesse,"  Nothing, nothing. I have this, uh, recording of Dylan Thomas, reading a W.H.Auden poem. He's got a great voice. Just it's like, uh...",21
Céline,"What, what?",21
Céline,"That‘s good.   When you talked earlier about after a few years, how a couple begin to hate each other...by anticipating their reactions...or getting tired of their mannerisms. I think it would be the opposite for me. I think I can really fall in love when I know everything about someone. The way he's gonna part his hair...which shirt he's gonna wear that day...knowing the exact story he'd tell in a given situation. I'm sure that's when I know I'm really in love.",21
Jesse,"Hey, guess what?",21
Céline,What?,21
Jesse,We didn't go to those guys' play.,21
Céline,Play?,21
Jesse,Yeah.,21
Céline,With the cow?,21
Jesse,Yeah.,21
Céline,"  Yeah, we didn't. Oh no, we missed it.",21
Céline,"Okay, you know what bus to take to the airport?",22
Jesse,"Yeah, yeah. No problem.",22
Céline,I should get on this one,22
Jesse,Right here? You wanna to get on there?,22
Céline,Yeah.,22
Jesse,Alright. Um...,22
Céline,"Okay. I guess this is it, no?",22
Jesse,"  Yeah. Um, I really,   I, uh, I... I mean, you know.",22
Céline,"Yeah, I know, me too -- I, uh. Yeha, My...Have a great life. Have fun with everything you're gonna do. Work hard...",22
Jesse,"Yeah. Good luck with school, and all that.",22
Céline,Okay.,22
Jesse,I hate this.,22
Céline,Me too. The train is about to leave.,22
Jesse,Yeah.,22
Jesse,Listen. Listen. You know all this bullshit we're talking about...about not seeing each other again? I don't want to do that.,22
Céline,I don't want to do that either.,22
Jesse,You don't?,22
Céline,I waited for you to say it.,22
Jesse,"Well, why didn't you say something?",22
Céline,I was afraid you didn't wanna see me.,22
Jesse,"Alright, alright, well look. Listen, listen. What-d...what-d...What do you wanna do?",22
Céline,"Maybe... maybe we should meet here, in five years or something.",22
Jesse,"Alright, alright. Five years.   Five years? That's a long time.",22
Céline,Yes. It‘s awful. It‘s like a sociological experiment. How about one year?,22
Jesse,"One year. Alright, alright.",22
Céline,One year.,22
Jesse,How about six months?,22
Céline,Six months?,22
Jesse,Yeah.,22
Céline,It‘s gonna be freezing.,22
Jesse,Yeah?,22
Céline,Yeah.,22
Jesse,"Who cares? We come here, we go somewhere else.",22
Céline,"Okay. Okay. Uh, six months from now, or last night?",22
Jesse,"Um...Last night. Six months from last night, which was...June 16th. So...track nine, six months from now at six o'clock, at night.",22
Céline,Dece--December.,22
Jesse,"December, yeah, right. Now listen, it‘s a train ride for you, but I got to fly all the way here. But I'm gonna be here.",22
Céline,"Okay, me too.",22
Jesse,Alright.,22
Céline,And we won‘t call...or write or...,22
Jesse,Na...,22
Céline,Na.,22
Jesse,It‘s depressing.,22
Céline,"Yeah, okay.",22
Jesse,"Alright.   Alright, your train's gonna leave. Say goodbye.",22
Céline,Bye.,22
Jesse,Goodbye.,22
Céline,Au revoir.,22
Jesse,Later.,22
